s_no,name,fat,carbs,protein,total_cal,vn
1,Poha,3,6,69,360,veg
2,Dosa,15,14,65,420,veg
3,Kachori,0,12,10,45,veg
4,Akoori,9,10,7,156,veg
5,Roti,4,1,11,106,veg
6,Popadum,2,5,5,65,veg
7,Idli,2,0,8,39,veg
8,Phulka,3,1,19,94,veg
9,Chappathi,3,0,24,114,veg
10,Jilebi,1,2,31,200,veg
11,vadai,0,18,16,240,veg
12,Utappam,17.5,2.8,14.2,92,veg
13,Mysorepak,2,10,26,197,veg
14,Bhaji,4,1,6,75,veg
15,Egg_omelet,12,10,4,199,veg
16,Samosa,2,8,15,250,veg
17,Pongal,22,74,116,212,veg
18,Akki_roti,2.7,8,30.5,208,veg
19,Khichdi,0,0,0,103,veg
20,Puri,3,5,16,112,veg
21,Aloo_paratha,10,8,65,390,veg
22,Upma,16,52,123,192,veg
23,pesarattu,30,32,82,145,veg
24,Ragi_sangati,3,1,21,108,veg
25,Appam,6,16,77,99,veg
26,Vada_pav,26,36,136,197,veg
27,Dalia,12,1.3,76,342,veg
28,Idiappam,1,2.3,10,69,veg
29,Aloo_kulcha,20,54,145,221,veg
30,Chow_chow_bath,1.9,5.4,11,99,veg
31,Tandoori_Chicken,117,5,30.5,260,non veg
32,Nan_Bread,19,2.1,11.5,78,veg
33,palak_paneer,14,43,15,350,veg
34,Dosa,34,75,11,133,veg
35,vada,47,30,20,73,veg
36,Ragi_dosa,3,72,12,132,veg
37,Millet_Dosa,48,14.1,23,124.3,veg
38,upma,52,123,16,192,veg
39,Jowar_Roti,1,3,24,117,veg
40,Mong_DalDosa,32,63,10,142,veg
41,Paratha,59,63,10,126,veg
42,fruit_pop_oatmeal_bowl,4,68,9,336,veg
43,classic_fruit_bowl,3,36,4,198,veg
44,utthapam,5,36,7,230,veg
45,vuggani,12,13,0,165,veg
46,Atukul,5,36,7,200,veg
47,Aloo_parota,76,13,90,177,veg
48,Peas_Parota,41,28,99,164,veg
49,Gobi_Parota,79,22,123,218,veg
50,Mooli_Parota,17,10,53,78,veg
51,Vada_Pav,4,33.9,6.6,197,veg
52,Veg_Sandwitch,3.7,41.2,5.8,266,veg
53,Pav_Baji,13,38,41.2,400,veg
54,Poori,120,7.5,13,101,veg
55,vadappa,0.5,6.23,1.3,68,veg
56,oats_Idli,4,6,20,30,veg
57,Masala_Idli,0.9,55,8,65,veg
58,set_dosa,13,18,35,123,veg
59,Karam_Dosa,16,34,25,134,veg
60,Tapilent,45,34,20,142,veg
