s_no,name,fat,carbs,protein,total_cal,vn
1,Poha,3,6,69,360,veg
2,Dosa,15,14,65,420,veg
3,Kachori,0,12,10,45,veg
4,Akoori,9,10,7,156,veg
5,Roti,4,1,11,106,veg
6,Popadum,2,5,5,65,veg
7,Idli,2,0,8,39,veg
8,Phulka,3,1,19,94,veg
9,Chappathi,3,0,24,114,veg
10,Jilebi,1,2,31,200,veg
11,vadai,0,18,16,240,veg
12,Utappam,17.5,2.8,14.2,92,veg
13,Mysorepak,2,10,26,197,veg
14,Bhaji,4,1,6,75,veg
15,Egg omelet,12,10,4,199,veg
16,Samosa,2,8,15,250,veg
17,Pongal,22,74,116,212,veg
18,Akki roti,2.7,8,30.5,208,veg
19,Khichdi,0,0,0,103,veg
20,Puri,3,5,16,112,veg
21,Aloo paratha,10,8,65,390,veg
22,Upma,16,52,123,192,veg
23,pesarattu,30,32,82,145,veg
24,Ragi sangati,3,1,21,108,veg
25,Appam,6,16,77,99,veg
26,Vada pav,26,36,136,197,veg
27,Dalia,12,1.3,76,342,veg
28,Idiappam,1,2.3,10,69,veg
29,Aloo kulcha,20,54,145,221,veg
30,Chow chow bath,1.9,5.4,11,99,veg
31,Tandoori Chicken,117,5,30.5,260,non veg
32,Nan Bread,19,2.1,11.5,78,veg
33,palak paneer,14,43,15,350,veg
34,Dosa,34,75,11,133,veg
35,vada,47,30,20,73,veg
36,Ragi dosa,3,72,12,132,veg
37,Millet Dosa,48,14.1,23,124.3,veg
38,upma,52,123,16,192,veg
39,Jowar Roti,1,3,24,117,veg
40,Mong DalDosa,32,63,10,142,veg
41,Paratha,59,63,10,126,veg
42,fruit pop oatmeal bowl,4,68,9,336,veg
43,classic fruit bowl,3,36,4,198,veg
44,utthapam,5,36,7,230,veg
45,vuggani,12,13,0,165,veg
46,Atukul,5,36,7,200,veg
47,Aloo parota,76,13,90,177,veg
48,Peas Parota,41,28,99,164,veg
49,Gobi Parota,79,22,123,218,veg
50,Mooli Parota,17,10,53,78,veg
51,Vada Pav,4,33.9,6.6,197,veg
52,Veg Sandwitch,3.7,41.2,5.8,266,veg
53,Pav Baji,13,38,41.2,400,veg
54,Poori,120,7.5,13,101,veg
55,vadappa,0.5,6.23,1.3,68,veg
56,oats Idli,4,6,20,30,veg
57,Masala Idli,0.9,55,8,65,veg
58,set dosa,13,18,35,123,veg
59,Karam Dosa,16,34,25,134,veg
60,Tapilent,45,34,20,142,veg
61,quinoa pumpkin kichidi meal,12,48,20,390,veg
62,high protein chole patty meal,31,80,29,704,veg
63,hing wale channe & veg pulao,13,99,28,638,veg
64,dal makhni & veg pulao,10,99,25,601,veg
65,curd rice,11,52,12,350,veg
66,paratha meal,34,84,36,842,veg
67,pulav and egg masala,26,38,25,494,non veg
68,pulav baked vegtables and Rajma,30,16,19,443,veg
69,Panner khatta Pyaaz Parata,39,92,33,842,veg
70,Daal Indian Meal,12,24,9,264,veg
71,Puliyogre,9,36,9,270,veg
72,tomota rice,9,26,19,340,veg
73,Lemon Rice,16,34,7.1,250,veg
74,tamarid rice,16,44,21,250,veg
75,malabar fish biriyani,16,34,103,550,non veg
76,mango rice,8,39,19,250,veg
77,sambar rice,9,26,15,180,veg
78,dal rice,19,36,29,240,veg
79,egg fried rice,9,16,67,189,non veg
80,chicken fried rice,9,56,123,340,non veg
81,peas biriyani,9,86,56,340,veg
82,dryfruits rice,9,26,24,340,veg
83,rasam rice,9,36,19,340,veg
84,jackfruit seeds biriyani,29,26,67.8,224,veg
85,mutton biriyani,58.1,46,102,412,non veg
86,prawns biriyani,19,76,190,260,non veg
87,chicken kebab,16,26,200,340,non veg
88,keema balls biriyani,100,69,140,440,non veg
89,haleem,143,26,154,569,non veg
90,tomato soup,1,1.1,1.5,28,veg
91,corn soup,1.6,2,2.6,35,veg
92,chicken soup,1.3,2.2,4,40,non veg
93,creamy chicken soup,4,3.3,1.2,61,non veg
94,pepper soup,1.3,2,1,24,veg
95,vegetable soup,1.9,2.9,3,25,veg
96,cheesy potato soup,9,4,1.2,74,veg
97,chicken stew soup,3.6,2.6,2.5,36,non veg
98,curd rice,4,1.4,2,65.6,veg
99,vegetables kichidi,12,48,20,390,veg
100,Masala Rice,23,80,29,704,veg
101,Atukul rice with peanuts,13,99,28,638,veg
102,podi rice,10,99,25,601,veg
103,Egg and mashroom rice,11,52,12,350,veg
104,Veg gobi rice,34,84,36,842,veg
105,Egg biryani,26,38,25,494,veg
106,brown rice veggies,30,16,19,342,veg
